School Name,Province/Territory,FY Start,Domestic Enrolment,International Enrolment,% International
Lambton College,Ontario,2021,1809,10011,84.7
Northern College,Ontario,2019,834,3123,78.92
Northern College,Ontario,2021,990,3138,76.02
Canadore College,Ontario,2021,1878,5565,74.77
Lambton College,Ontario,2019,2112,5577,72.53
Loyalist College,Ontario,2021,1668,3753,69.23
Algoma University,Ontario,2021,780,1662,68.06
Cape Breton University,Nova Scotia,2019,1479,2412,61.99
Cambrian College,Ontario,2021,2853,4074,58.81
Sault College,Ontario,2021,1326,1851,58.26
Algoma University,Ontario,2019,699,912,56.61
College of New Caledonia,British Columbia,2019,1116,1452,56.54
Conestoga College,Ontario,2021,8391,10821,56.32
Coast Mountain College,British Columbia,2021,243,312,56.22
Northern Lights College,British Columbia,2021,360,450,55.56
Northern Lights College,British Columbia,2019,444,495,52.72
Cambrian College,Ontario,2019,2781,3075,52.51
Centennial College,Ontario,2019,9051,9624,51.53
Vancouver Community College,British Columbia,2021,1002,1023,50.52
Conestoga College,Ontario,2019,9018,8796,49.38
Cape Breton University,Nova Scotia,2021,1647,1578,48.93
St. Lawrence College,Ontario,2021,4299,4023,48.34
Langara College,British Columbia,2021,4101,3756,47.8
St. Clair College,Ontario,2021,6384,5757,47.42
Coast Mountain College,British Columbia,2019,372,333,47.23
Langara College,British Columbia,2019,4386,3918,47.18
Royal Roads University,British Columbia,2019,804,666,45.31
Seneca College,Ontario,2021,13101,10839,45.28
Selkirk College,British Columbia,2019,867,705,44.85
Kwantlen Polytechnic University,British Columbia,2021,5760,4662,44.73
Centennial College,Ontario,2021,8880,6906,43.75
Capilano University,British Columbia,2019,3348,2532,43.06
Thompson Rivers University,British Columbia,2019,5676,4134,42.14
St. Lawrence College,Ontario,2019,4998,3618,41.99
Selkirk College,British Columbia,2021,795,570,41.76
Vancouver Community College,British Columbia,2019,981,678,40.87
Niagara College Canada,Ontario,2021,5043,3432,40.5
College of New Caledonia,British Columbia,2021,1158,756,39.5
Thompson Rivers University,British Columbia,2021,5814,3660,38.63
Canadore College,Ontario,2019,2790,1752,38.57
Douglas College,British Columbia,2019,6267,3828,37.92
Seneca College,Ontario,2019,13143,7752,37.1
Loyalist College,Ontario,2019,1944,1134,36.84
Justice Institute of British Columbia,British Columbia,2019,606,336,35.67
North Island College,British Columbia,2019,825,450,35.29
Georgian College,Ontario,2021,6201,3315,34.84
Saint Mary's University,Nova Scotia,2019,3744,1980,34.59
Douglas College,British Columbia,2021,6078,3207,34.54
McGill University,Quebec,2019,21939,11406,34.21
QC Total,Quebec,2019,21939,11406,34.21
Fanshawe College,Ontario,2021,11127,5775,34.17
Royal Roads University,British Columbia,2021,816,417,33.82
Niagara College Canada,Ontario,2019,5982,3051,33.78
Capilano University,British Columbia,2021,3297,1650,33.35
Emily Carr University of Art and Design,British Columbia,2021,1170,585,33.33
Sheridan College Institute of Technology,Ontario,2019,12846,6279,32.83
Fanshawe College,Ontario,2019,11919,5745,32.52
Justice Institute of British Columbia,British Columbia,2021,681,327,32.44
Kwantlen Polytechnic University,British Columbia,2019,6456,3075,32.26
Georgian College,Ontario,2019,7227,3426,32.16
Okanagan College,British Columbia,2019,3240,1509,31.78
McGill University,Quebec,2021,22938,10551,31.51
QC Total,Quebec,2021,22938,10551,31.51
Saint Mary's University,Nova Scotia,2021,4020,1848,31.49
University of Prince Edward Island,Prince Edward Island,2021,3339,1458,30.39
Fleming College,Ontario,2019,3777,1638,30.25
BC Total,British Columbia,2019,125697,54231,30.14
Emily Carr University of Art and Design,British Columbia,2019,1206,513,29.84
University of Prince Edward Island,Prince Edward Island,2019,2994,1236,29.22
University of Toronto,Ontario,2021,63078,25668,28.92
NSCAD University,Nova Scotia,2019,531,216,28.92
University of British Columbia,British Columbia,2019,34698,13752,28.38
OCAD University,Ontario,2021,3138,1227,28.11
University of British Columbia,British Columbia,2021,36201,14010,27.9
BC Total,British Columbia,2021,125427,48252,27.78
George Brown College,Ontario,2021,11898,4518,27.52
PEI Total,Prince Edward Island,2021,5022,1905,27.5
Sheridan College Institute of Technology,Ontario,2021,11565,4362,27.39
Sault College,Ontario,2019,1806,663,26.85
College of the Rockies,British Columbia,2019,990,363,26.83
British Columbia Institute of Technology,British Columbia,2019,9063,3321,26.82
University of the Fraser Valley,British Columbia,2019,6039,2157,26.32
University of Windsor,Ontario,2021,11442,4065,26.21
PEI Total,Prince Edward Island,2019,5379,1902,26.12
Red River College,Manitoba,2019,5349,1887,26.08
Humber College North Campus,Ontario,2021,16476,5760,25.9
ON Total,Ontario,2021,555399,194145,25.9
University of Toronto,Ontario,2019,63459,21855,25.62
George Brown College,Ontario,2019,14109,4830,25.5
Dalhousie University,Nova Scotia,2019,12504,4206,25.17
Bow Valley College,Alberta,2019,5334,1767,24.88
Humber College North Campus,Ontario,2019,18936,6120,24.43
Fleming College,Ontario,2021,3105,999,24.34
Mount Saint Vincent University,Nova Scotia,2021,1953,627,24.3
OCAD University,Ontario,2019,2706,858,24.07
NS Total,Nova Scotia,2019,35121,10917,23.71
Camosun College,British Columbia,2019,4878,1512,23.66
New Brunswick Community College,New Brunswick,2021,3318,1023,23.57
Mohawk College,Ontario,2019,9705,2988,23.54
Confederation College,Ontario,2019,2325,714,23.49
NorQuest College,Alberta,2021,4971,1524,23.46
Dalhousie University,Nova Scotia,2021,13620,4170,23.44
Mount Saint Vincent University,Nova Scotia,2019,1866,570,23.4
University of Windsor,Ontario,2019,11325,3438,23.29
University of Manitoba,Manitoba,2021,20343,6159,23.24
ON Total,Ontario,2019,565689,170508,23.16
Bow Valley College,Alberta,2021,4989,1503,23.15
University of Waterloo,Ontario,2019,29163,8775,23.13
Confederation College,Ontario,2021,1908,567,22.91
Assiniboine Community College,Manitoba,2021,1122,333,22.89
Simon Fraser University,British Columbia,2019,12339,3654,22.85
Assiniboine Community College,Manitoba,2019,1251,369,22.78
Providence University College and Theological Seminary,Manitoba,2019,204,60,22.73
Okanagan College,British Columbia,2021,3483,1014,22.55
University of Waterloo,Ontario,2021,30582,8883,22.51
Memorial University of Newfoundland,Newfoundland and Labrador,2019,12066,3420,22.08
Simon Fraser University,British Columbia,2021,11607,3276,22.01
Holland College,Prince Edward Island,2019,2385,666,21.83
University of Ottawa-Université d'Ottawa,Ontario,2021,31899,8877,21.77
North Island College,British Columbia,2021,891,246,21.64
NSCAD University,Nova Scotia,2021,534,147,21.59
University of Manitoba,Manitoba,2019,20727,5619,21.33
