School or Partnership Name*,Province,Total 2018-2023,2018,2019,2020,2021,2022,2023,Increase (2018-2023),Public College-Private Partnership**
Conestoga College,ON,81447,6032,8455,2838,12822,20905,30395,24363,
University Canada West,BC,32781,839,1722,1350,5178,9779,13913,13074,
Algoma University,ON,18253,215,988,243,1785,5693,9329,9114,
Fanshawe College/ILAC International College,ON,38964,4064,4824,1935,6635,9800,11706,7642,Y
Niagara College Canada/Toronto School of Management,ON,35792,3666,2262,1132,4518,13015,11199,7533,Y
Fleming College/Trebas Institute Ontario Inc.,ON,17297,1440,1714,314,1201,3779,8849,7409,Y
Seneca College,ON,46668,3792,5712,2696,12411,11015,11042,7250,
Sheridan College/Canadian College of Technology and Trades,ON,27750,3620,4107,598,3464,6750,9211,5591,Y
"Cambrian College of Applied Arts and Technology/Hanson College of Business, Health and Technology",ON,18814,1334,2263,804,3225,4747,6441,5107,Y
Georgian College/ILAC International College,ON,25642,2163,2596,770,3770,9279,7064,4901,Y
Humber College,ON,28350,3136,3892,1379,5383,6858,7702,4566,
St. Clair College/ACE Acumen Academy,ON,31870,3410,5368,1765,6423,7055,7849,4439,Y
Canadore College/Stanford International College of Business and Technology,ON,21520,1489,3129,1408,5412,4218,5864,4375,Y
"Lambton College/Queen’s College of Business, Technology and Public Safety/Cestar College of Business, Health and Technology",ON,43703,5337,5006,3138,11543,9040,9639,4302,Y
Southern Alberta Institute of Technology (SAIT Polytechnic),AB,11588,803,916,443,1653,3030,4743,3940,
St. Lawrence College/Alpha College of Business and Technology,ON,18342,1492,2116,802,3416,5095,5421,3929,Y
"Algonquin College/CDI College Business, Technology and Healthcare",ON,16688,1977,2035,646,2051,4139,5840,3863,Y
Mohawk College of Applied Arts and Technology/triOS College Business Technology Healthcare Inc,ON,15869,1494,1865,359,1825,5048,5278,3784,Y
Centennial College,ON,43081,6047,6306,1939,7412,11848,9529,3482,
Loyalist College/Toronto Business College,ON,15022,612,1225,316,4850,4155,3864,3252,Y
George Brown College,ON,22210,2860,2691,1172,3533,5969,5985,3125,
Sault College of Applied Arts and Technology/Trios College Business Technology Healthcare Inc/Trios College,ON,10701,504,1053,536,2597,2445,3566,3062,Y
Cape Breton University,NS,14451,1782,1655,388,1855,4315,4456,2674,
Durham College,ON,11109,1249,1063,358,2033,2655,3751,2502,
University of Toronto,ON,35364,4482,4649,3290,9115,6877,6951,2469,
Yorkville University,BC,4839,337,821,181,280,495,2725,2388,
Collège Supérieur de Montréal (C.S.M.) inc.,QC,4736,160,411,261,444,988,2472,2312,
Toronto Film School,ON,6148,455,1328,202,524,912,2727,2272,
Alexander College,BC,9342,919,845,284,1345,2884,3065,2146,
Université du Québec à Chicoutimi,QC,9241,927,1270,517,1579,1928,3020,2093,
NorQuest College,AB,6616,445,730,130,1225,1612,2474,2029,
Université Laval,QC,12307,1559,1815,950,1984,2419,3580,2021,
Saskatchewan Polytechnic,SK,7385,495,993,238,1237,1930,2492,1997,
Université du Québec en Outaouais Pavillon Alexandre-Taché,QC,3461,198,302,100,292,486,2083,1885,
Trinity Western University,BC,5452,382,466,228,664,1458,2254,1872,
Trent University,ON,4900,344,431,218,622,1148,2137,1793,
Capilano University,BC,7475,914,1118,236,815,1717,2675,1761,
La Cité collégiale,ON,6037,349,690,377,942,1577,2102,1753,
New Brunswick Community College (NBCC),NB,5423,319,621,176,1156,1176,1975,1656,
Vancouver Community College,BC,6166,410,556,299,1075,1773,2053,1643,
École de technologie supérieure,QC,7594,656,815,697,1559,1600,2267,1611,
Cambria College,BC,2004,0,14,5,108,332,1545,1545,
Cornerstone International Community College of Canada,BC,6187,358,581,326,1527,1518,1877,1519,
Université du Québec à Trois-Rivières,QC,8613,881,1575,742,1697,1337,2381,1500,
Université de Moncton,NB,4795,455,475,371,616,939,1939,1484,
Coquitlam College,BC,6570,655,774,321,906,1832,2082,1427,
University of Manitoba,MB,10607,1436,1515,784,1945,2094,2833,1397,
"University of Regina, including Campion College, First Nations University of Canada and Luther College",SK,9443,1631,1526,431,1119,1744,2992,1361,
Université du Québec à Rimouski,QC,3471,243,295,172,512,651,1598,1355,
Institut Teccart (2003),QC,5328,643,852,415,566,857,1995,1352,
Laurentian University,ON,3156,278,288,157,266,624,1543,1265,
NAIT (Northern Alberta Institute of Technology),AB,5370,545,741,280,850,1178,1776,1231,
Keyano College,AB,1769,27,51,23,102,309,1257,1230,
Assiniboine Community College,MB,3448,198,332,97,372,1035,1414,1216,
Kwantlen Polytechnic University,BC,12775,1249,1433,916,3286,3486,2405,1156,
York University,ON,19890,3061,3177,1186,3673,4584,4209,1148,
Northern College/Pures College of Technology,ON,21579,2893,3835,1676,3591,5627,3957,1064,Y
Centre de services scolaire de Montréal,QC,2597,178,323,147,217,525,1207,1029,
Université de Montréal,QC,14774,2079,2292,1418,3128,2757,3100,1021,
Northeastern University (Toronto),ON,2552,0,7,45,799,681,1020,1020,
Red River College Polytechnic,MB,6080,697,843,398,1269,1176,1697,1000,
Toronto School of Management,ON,4333,175,467,256,1129,1152,1154,979,Y
University of Windsor,ON,15682,1884,2435,940,3697,3869,2857,973,
Université de Sherbrooke,QC,5589,675,731,446,1126,967,1644,969,
Université d’Ottawa/University of Ottawa,ON,15381,2173,2573,1243,3029,3226,3137,964,
University of Calgary,AB,11023,1387,1430,926,2488,2458,2334,947,
Pacific Link College,BC,1710,132,75,41,164,219,1079,947,
International Language Academy of Canada (ILAC),BC,8249,908,767,347,2326,2051,1850,942,
University of Lethbridge,AB,2421,170,231,73,337,530,1080,910,
Université du Québec à Montréal,QC,9880,1276,1583,747,2344,1809,2121,845,
École nationale d’administration publique,QC,1443,39,69,33,145,351,806,767,
Red Deer Polytechnic,AB,1859,67,113,63,277,516,823,756,
Toronto Metropolitan University (formerly Ryerson University),ON,5899,621,742,411,1293,1499,1333,712,
LaSalle College Vancouver,BC,2212,189,134,50,231,733,875,686,
ILAC International College (Toronto),ON,4276,286,450,335,1125,1112,968,682,Y
"University of Saskatchewan, including St. Thomas More College",SK,5360,770,758,359,1065,1006,1402,632,
Collège Boréal,ON,1475,61,80,42,166,448,678,617,
Newcastle College of Business & Technology,ON,845,3,3,4,119,109,607,604,
Confederation College,ON,4929,706,835,211,661,1212,1304,598,
University of New Brunswick,NB,4592,543,568,257,926,1182,1116,573,
Manitoba Institute of Trades and Technology,MB,4037,505,549,288,760,896,1039,534,
Memorial University of Newfoundland,NFL,7866,1056,1178,545,1698,1802,1587,531,
ILAC International College (Vancouver),BC,3120,174,255,182,898,910,701,527,
Langara College,BC,13906,2097,2207,1048,2570,3391,2593,496,
MacEwan University,AB,2725,429,289,110,376,606,915,486,
Collège communautaire du Nouveau-Brunswick (CCNB),NB,2554,266,381,164,353,663,727,461,
College of the North Atlantic,NFL,1372,78,277,44,187,248,538,460,
University of Winnipeg,MB,5862,788,885,470,1262,1213,1244,456,
Institut Trebas Québec Inc.,QC,2169,24,38,34,593,1023,457,433,
Bow Valley College,AB,6242,927,1059,325,1245,1331,1355,428,
Okanagan College,BC,3793,592,585,147,611,844,1014,422,
Crandall University,NB,1614,39,75,67,534,445,454,415,
Northeastern University (Vancouver),BC,832,0,6,34,148,230,414,414,
Mount Saint Vincent University,NS,1977,213,305,102,349,385,623,410,
University of the Fraser Valley,BC,4963,1042,703,122,708,938,1450,408,
University of Prince Edward Island,PEI,3956,594,660,230,660,816,996,402,
Fairleigh Dickinson University - Vancouver,BC,3390,451,535,208,549,819,828,377,
College of New Caledonia,BC,4068,731,913,137,372,810,1105,374,
École Polytechnique de Montréal,QC,4846,675,714,588,1019,826,1024,349,
Camosun College,BC,3908,603,516,206,714,928,941,338,
McMaster University,ON,7689,988,1289,664,2013,1413,1322,334,
New York Institute of Technology,BC,2808,391,453,198,614,439,713,322,
Lethbridge College,AB,2009,317,230,55,278,490,639,322,
University of Victoria,BC,7355,1068,1005,510,1998,1385,1389,321,
Lakehead University,ON,4329,755,626,176,791,922,1059,304,
SELC College,BC,2202,248,301,152,408,541,552,304,
Université du Québec en Abitibi-Témiscamingue,QV,1133,156,155,53,192,163,414,258,
University of Guelph,ON,3818,562,605,261,727,844,819,257,
Cégep de Trois-Rivières,QC,835,61,144,77,111,134,308,247,
Tamwood Careers and Language Centres - BC,BC,2072,223,225,99,467,595,463,240,
Cégep de Sherbrooke,QC,635,31,50,31,143,118,262,231,
Nova Scotia Community College,NS,2237,304,284,125,446,545,533,229,
Coast Mountain College,BC,1346,187,161,59,233,299,407,220,
Douglas College,BC,8865,1451,1354,624,1803,1966,1667,216,
Greystone College of Business and Technology - Toronto,ON,1983,339,299,84,285,434,542,203,
Acsenda School of Management,BC,3269,566,724,213,405,594,767,201,
Open Study Permit,NA,1306,155,267,113,210,207,354,199,
Justice Institute of British Columbia,BC,546,7,28,14,109,184,204,197,
Columbia College - Vancouver,BC,5910,960,1038,315,1159,1277,1161,201,
University of Northern British Columbia,BC,1171,131,156,67,202,292,323,192,
Collège LaSalle,QC,4854,1174,874,194,492,757,1363,189,
Collège TAV,QC,888,53,111,67,120,297,240,187,
Cégep de Jonquière,QC,976,117,144,94,178,141,302,185,
Brandon University,MB,1047,154,117,69,139,236,332,178,
Northern Lights College,BC,1716,258,215,111,361,339,432,174,
Tamwood Careers - ON,ON,652,31,66,44,128,179,204,173,
Université Sainte-Anne,NS,793,107,151,28,108,120,279,172,
Cégep Limoilou,QC,691,71,79,64,110,134,233,162,
OCAD University,ON,1401,130,209,119,337,319,287,157,
Holland College,PEI,1654,239,304,125,302,291,393,154,
Université de Hearst,ON,594,38,88,31,109,136,192,154,
Carleton University,ON,6818,1071,1189,497,1421,1416,1224,153,
Centre de formation professionnelle Léonard-De Vinci,QC,594,31,83,67,121,116,176,145,
Ontario Tech University (formerly University of Ontario Institute of Technology),ON,1903,247,246,107,484,429,390,143,
Collège Greystone,QC,1131,4,72,32,232,646,145,141,
