REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2011/2012,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,127467,,,,0
2012/2013,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,141675,,,,0
2013/2014,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,160038,,,,0
2014/2015,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,181086,,,,0
2015/2016,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,195063,,,,0
2016/2017,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,219018,,,,0
2017/2018,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,254643,,,,0
2018/2019,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,296139,,,,0
2019/2020,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,340221,,,,0
2020/2021,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,328692,,,,0
2021/2022,Canada,2021A000011124,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1438513041,1.1.1.1.1.2.3.1,357267,,,,0
2011/2012,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,1389,,,,0
2012/2013,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,1716,,,,0
2013/2014,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,1785,,,,0
2014/2015,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,2061,,,,0
2015/2016,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,2199,,,,0
2016/2017,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,2448,,,,0
2017/2018,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,2736,,,,0
2018/2019,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,3060,,,,0
2019/2020,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,3729,,,,0
2020/2021,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,3699,,,,0
2021/2022,Newfoundland and Labrador,2021A000210,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439138225,2.1.1.1.1.2.3.1,3318,,,,0
2011/2012,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,1341,,,,0
2012/2013,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,1650,,,,0
2013/2014,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,1725,,,,0
2014/2015,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,2019,,,,0
2015/2016,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,2148,,,,0
2016/2017,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,2385,,,,0
2017/2018,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,2679,,,,0
2018/2019,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,2970,,,,0
2019/2020,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,3420,,,,0
2020/2021,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,3306,,,,0
2021/2022,"Memorial University of Newfoundland, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439217464,3.1.1.1.1.2.3.1,3015,,,,0
2011/2012,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,48,,,,0
2012/2013,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,66,,,,0
2013/2014,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,60,,,,0
2014/2015,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,45,,,,0
2015/2016,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,51,,,,0
2016/2017,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,63,,,,0
2017/2018,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,57,,,,0
2018/2019,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,87,,,,0
2019/2020,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,309,,,,0
2020/2021,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,393,,,,0
2021/2022,"College of the North Atlantic, Newfoundland and Labrador",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439272325,4.1.1.1.1.2.3.1,300,,,,0
2011/2012,Prince Edward Island,2021A000211,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439300220,5.1.1.1.1.2.3.1,480,,,,0
2012/2013,Prince Edward Island,2021A000211,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439300220,5.1.1.1.1.2.3.1,486,,,,0
2013/2014,Prince Edward Island,2021A000211,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439300220,5.1.1.1.1.2.3.1,516,,,,0
