"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1295745","","","","0"
"2010/2011","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1333188","","","","0"
"2011/2012","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1353324","","","","0"
"2012/2013","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1366443","","","","0"
"2013/2014","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1378959","","","","0"
"2014/2015","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1366716","","","","0"
"2015/2016","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1355496","","","","0"
"2016/2017","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1360779","","","","0"
"2017/2018","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1365513","","","","0"
"2018/2019","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1361304","","","","0"
"2019/2020","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1349823","","","","0"
"2020/2021","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1357824","","","","0"
"2021/2022","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1347282","","","","0"
"2022/2023","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1320684","","","","0"
"2009/2010","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","20031","","","","0"
"2010/2011","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","20424","","","","0"
"2011/2012","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","19743","","","","0"
"2012/2013","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","19314","","","","0"
"2013/2014","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18642","","","","0"
"2014/2015","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18351","","","","0"
"2015/2016","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","18288","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","17982","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16764","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16569","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16035","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16074","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16434","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","15288","","","","0"
