"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","15288","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","4725","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688462","2.1.1.3.1.2.2.1","1350","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688466","2.1.1.3.1.2.3.1","42","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688562","2.1.1.4.1.2.2.1","2895","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688566","2.1.1.4.1.2.3.1","417","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688670","2.1.1.5.1.2.2.1","10617","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688674","2.1.1.5.1.2.3.1","4263","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Other type of credential associated with a program","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688758","2.1.1.8.1.2.2.1","318","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Other type of credential associated with a program","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688762","2.1.1.8.1.2.3.1","0","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Not applicable, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688842","2.1.1.9.1.2.2.1","105","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689213","2.1.4.1.1.2.2.1","3795","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689217","2.1.4.1.1.2.3.1","315","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689284","2.1.4.3.1.2.2.1","978","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689288","2.1.4.3.1.2.3.1","27","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689351","2.1.4.4.1.2.2.1","2757","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689355","2.1.4.4.1.2.3.1","291","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Other type of credential associated with a program","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689416","2.1.4.8.1.2.2.1","48","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Career, technical or professional training program","Not applicable, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689458","2.1.4.9.1.2.2.1","15","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689520","2.1.5.1.1.2.2.1","96","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689524","2.1.5.1.1.2.3.1","15","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689579","2.1.5.3.1.2.2.1","3","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689636","2.1.5.4.1.2.2.1","93","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689640","2.1.5.4.1.2.3.1","15","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689702","2.1.8.1.1.2.2.1","9186","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689706","2.1.8.1.1.2.3.1","2550","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689788","2.1.8.3.1.2.2.1","165","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689792","2.1.8.3.1.2.3.1","12","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689855","2.1.8.4.1.2.2.1","27","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689859","2.1.8.4.1.2.3.1","6","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608689924","2.1.8.5.1.2.2.1","8994","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Undergraduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608689928","2.1.8.5.1.2.3.1","2535","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690012","2.1.9.1.1.2.2.1","315","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690016","2.1.9.1.1.2.3.1","0","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690076","2.1.9.5.1.2.2.1","315","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Post-baccalaureate non-graduate program","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690080","2.1.9.5.1.2.3.1","0","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690278","2.1.13.1.1.2.2.1","753","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690282","2.1.13.1.1.2.3.1","1401","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690358","2.1.13.4.1.2.2.1","18","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690362","2.1.13.4.1.2.3.1","102","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690424","2.1.13.5.1.2.2.1","732","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690428","2.1.13.5.1.2.3.1","1299","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608690508","2.1.14.1.1.2.2.1","576","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608690512","2.1.14.1.1.2.3.1","429","","","","0"
